area,month,orientation,inclination,c1
H1b,Juillet,Nord,75°> >=25°,1.92
H1b,Juillet,Nord,<25°,1.96
H1b,Juillet,Est,>=75°,1.06
H1b,Juillet,Est,75°> >=25°,2.51
H1b,Juillet,Est,<25°,2.01
H1b,Juillet,Horizontal,,2.01
H1b,Août,Sud,>=75°,1
H1b,Août,Sud,75°> >=25°,2.53
H1b,Août,Sud,<25°,1.88
H1b,Août,Ouest,>=75°,0.98
H1b,Août,Ouest,75°> >=25°,2.19
H1b,Août,Ouest,<25°,1.77
H1b,Août,Nord,>=75°,0.55
H1b,Août,Nord,75°> >=25°,1.35
H1b,Août,Nord,<25°,1.52
H1b,Août,Est,>=75°,0.83
H1b,Août,Est,75°> >=25°,1.99
H1b,Août,Est,<25°,1.61
H1b,Août,Horizontal,,1.62
H1b,Septembre,Sud,>=75°,1
H1b,Septembre,Sud,75°> >=25°,2.13
H1b,Septembre,Sud,<25°,1.18
H1b,Septembre,Ouest,>=75°,0.74
H1b,Septembre,Ouest,75°> >=25°,1.6
H1b,Septembre,Ouest,<25°,1.08
H1b,Septembre,Nord,>=75°,0.35
H1b,Septembre,Nord,75°> >=25°,0.77
H1b,Septembre,Nord,<25°,0.96
H1b,Septembre,Est,>=75°,0.56
H1b,Septembre,Est,75°> >=25°,1.33
H1b,Septembre,Est,<25°,1.08
H1b,Septembre,Horizontal,,1.11
H1b,Octobre,Sud,>=75°,1
H1b,Octobre,Sud,75°> >=25°,1.89
H1b,Octobre,Sud,<25°,1.36
H1b,Octobre,Ouest,>=75°,0.69
H1b,Octobre,Ouest,75°> >=25°,1.43
H1b,Octobre,Ouest,<25°,1.18
H1b,Octobre,Nord,>=75°,0.4
H1b,Octobre,Nord,75°> >=25°,0.84
H1b,Octobre,Nord,<25°,0.79
H1b,Octobre,Est,>=75°,0.47
H1b,Octobre,Est,75°> >=25°,1.09
H1b,Octobre,Est,<25°,0.88
H1b,Octobre,Horizontal,,0.91
H1b,Novembre,Sud,>=75°,1
H1b,Novembre,Sud,75°> >=25°,1.76
H1b,Novembre,Sud,<25°,0.81
H1b,Novembre,Ouest,>=75°,0.48
H1b,Novembre,Ouest,75°> >=25°,1.03
H1b,Novembre,Ouest,<25°,0.68
H1b,Novembre,Nord,>=75°,0.37
H1b,Novembre,Nord,75°> >=25°,0.8
H1b,Novembre,Nord,<25°,0.66
H1b,Novembre,Est,>=75°,0.47
H1b,Novembre,Est,75°> >=25°,1.04
H1b,Novembre,Est,<25°,0.77
H1b,Novembre,Horizontal,,0.76
H1b,Décembre,Sud,>=75°,1
H1b,Décembre,Sud,75°> >=25°,1.66
H1b,Décembre,Sud,<25°,0.96
H1b,Décembre,Ouest,>=75°,0.49
H1b,Décembre,Ouest,75°> >=25°,1
H1b,Décembre,Ouest,<25°,0.76
H1b,Décembre,Nord,>=75°,0.33
H1b,Décembre,Nord,75°> >=25°,0.71
H1b,Décembre,Nord,<25°,0.55
H1b,Décembre,Est,>=75°,0.39
H1b,Décembre,Est,75°> >=25°,0.84
H1b,Décembre,Est,<25°,0.63
H1b,Décembre,Horizontal,,0.63
H1c,Janvier,Sud,>=75°,1
H1c,Janvier,Sud,75°> >=25°,1.75
H1c,Janvier,Sud,<25°,0.87
H1c,Janvier,Ouest,>=75°,0.46
H1c,Janvier,Ouest,75°> >=25°,1
H1c,Janvier,Ouest,<25°,0.74
H1c,Janvier,Nord,>=75°,0.35
H1c,Janvier,Nord,75°> >=25°,0.75
H1c,Janvier,Nord,<25°,0.63
H1c,Janvier,Est,>=75°,0.49
H1c,Janvier,Est,75°> >=25°,1.04
H1c,Janvier,Est,<25°,0.75
H1c,Janvier,Horizontal,,0.74
H1c,Février,Sud,>=75°,1
H1c,Février,Sud,75°> >=25°,1.8
H1c,Février,Sud,<25°,0.9
H1c,Février,Ouest,>=75°,0.48
H1c,Février,Ouest,75°> >=25°,1.03
H1c,Février,Ouest,<25°,0.76
H1c,Février,Nord,>=75°,0.3
H1c,Février,Nord,75°> >=25°,0.62
H1c,Février,Nord,<25°,0.62
H1c,Février,Est,>=75°,0.47
H1c,Février,Est,75°> >=25°,1.04
H1c,Février,Est,<25°,0.76
H1c,Février,Horizontal,,0.75
H1c,Mars,Sud,>=75°,1
H1c,Mars,Sud,75°> >=25°,2.04
H1c,Mars,Sud,<25°,1.16
H1c,Mars,Ouest,>=75°,0.64
H1c,Mars,Ouest,75°> >=25°,1.4
H1c,Mars,Ouest,<25°,1.04
H1c,Mars,Nord,>=75°,0.35
H1c,Mars,Nord,75°> >=25°,0.75
H1c,Mars,Nord,<25°,0.88
H1c,Mars,Est,>=75°,0.58
