inertie,altitude,month,zone_climatique,E-pv(kWh/m²),Text(°C),E(kWh/m²),Nref(19°C),DH19(°Ch),DH14(°Ch),Nref(21°C),DH21(°Ch),Tefs(°C),Textmoy_clim(°C)Tcons=26°C,Textmoy_clim(°C)Tcons=28°C,E_fr(kWh/m²)Tcons=26°C,E_fr(kWh/m²)Tcons=28°C,Nref(26°C),Nref(28°C),DH26(°Ch),DH28(°Ch)
Lourde ou Très lourde,400,Juillet,H1b,227.4,0,0,0,0,0,0,0,16.9,28.9,29.8,43.62,30.73,389,90,388.8,163.6
Lourde ou Très lourde,400,Août,H1b,188.8,0,0,0,0,0,0,0,17.3,28.9,30,22.2,14.9,200,44,199.8,88
Lourde ou Très lourde,400,Septembre,H1b,148.7,0,0,0,0,0,0,0,16.8,27.3,28.2,3.25,0.46,11,1,10.8,0.2
Lourde ou Très lourde,400,Octobre,H1b,101.5,12.4,52.89,434,3218.1,1383.5,463,4112.7,14.6,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Novembre,H1b,46.5,6.6,33.95,720,8473.8,5382.8,720,9913.8,10.5,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Décembre,H1b,47.9,3.8,37.72,744,10452.5,7584.5,744,11940.5,7.9,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Janvier,H1b,41.5,2.7,31.13,744,11668.7,8440.7,744,13156.7,4.9,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Février,H1b,66.8,3.2,45.92,672,10218.7,7290.9,672,11562.7,4.1,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Mars,H1b,99,5.3,61.88,744,9689.8,6457.6,744,11177.8,4.4,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Avril,H1b,152.7,8.3,79.71,700,7285,4332.8,718,8706.2,5.6,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Mai,H1b,182.7,12.4,86.58,631,4759.3,2215.1,682,6074.9,9.3,0,0,1.77,0,5,0,20.1,2.6
Légère ou Moyenne,800,Juin,H1b,215.6,11.6,1.39,24,152.7,59.2,24,200.7,12.9,29.8,29.8,12.04,5.09,39,15,188.5,72
Légère ou Moyenne,800,Juillet,H1b,227.4,0,0,0,0,0,0,0,14.9,29,29,30.73,13.34,90,37,388.8,163.6
Légère ou Moyenne,800,Août,H1b,188.8,13.5,14.78,95,588.9,239.6,113,800.8,15.3,29.4,29.4,14.9,7.64,44,20,199.8,88
Légère ou Moyenne,800,Septembre,H1b,148.7,13.9,96.37,658,4119.6,1546.5,733,5508.4,14.8,0,0,0.46,0,1,0,10.8,0.2
Légère ou Moyenne,800,Octobre,H1b,101.5,10.3,61.93,603,5278.8,2696.5,624,6509.3,12.6,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Novembre,H1b,46.5,4.6,33.95,720,9913.8,6795.1,720,11353.8,8.5,0,0,0,0,0,0,0,0
Légère ou Moyenne,800,Décembre,H1b,47.9,1.8,37.72,744,11940.5,9072.5,744,13428.5,5.9,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Janvier,H1b,41.5,2.7,31.13,744,11668.7,8440.7,744,13156.7,4.9,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Février,H1b,66.8,3.2,45.92,672,10218.7,7290.9,672,11562.7,4.1,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Mars,H1b,99,5.3,61.88,744,9689.8,6457.6,744,11177.8,4.4,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Avril,H1b,152.7,8.3,79.71,700,7285,4332.8,718,8706.2,5.6,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Mai,H1b,182.7,12,48.02,337,2826.2,1406.2,369,3533.3,9.3,0,0,1.77,0,5,0,20.1,2.6
Lourde ou Très lourde,800,Juin,H1b,215.6,0,0,0,0,0,0,0,12.9,29.8,29.8,12.04,5.09,39,15,188.5,72
Lourde ou Très lourde,800,Juillet,H1b,227.4,0,0,0,0,0,0,0,14.9,29,29,30.73,13.34,90,37,388.8,163.6
Lourde ou Très lourde,800,Août,H1b,188.8,0,0,0,0,0,0,0,15.3,29.4,29.4,14.9,7.64,44,20,199.8,88
Lourde ou Très lourde,800,Septembre,H1b,148.7,13.4,57.8,430,2766.9,1050.4,463,3655.5,14.8,0,0,0.46,0,1,0,10.8,0.2
Lourde ou Très lourde,800,Octobre,H1b,101.5,10.3,61.93,603,5278.8,2696.5,624,6509.3,12.6,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Novembre,H1b,46.5,4.6,33.95,720,9913.8,6795.1,720,11353.8,8.5,0,0,0,0,0,0,0,0
Lourde ou Très lourde,800,Décembre,H1b,47.9,1.8,37.72,744,11940.5,9072.5,744,13428.5,5.9,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Janvier,H1b,41.5,0.7,31.13,744,13156.7,9928.7,744,14644.7,2.9,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Février,H1b,66.8,1.2,45.92,672,11562.7,8634.7,672,12906.7,2.1,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Mars,H1b,99,3.3,61.88,744,11177.8,7937.8,744,12665.8,2.4,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Avril,H1b,152.7,6.3,79.71,718,8706.2,5651.1,720,10144,3.6,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Mai,H1b,182.7,10.4,86.58,682,6074.9,3258.1,708,7463.5,7.3,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Juin,H1b,215.6,14.1,68.66,462,2889.6,1073.6,497,3848.8,10.9,27.8,29.2,5.09,1.96,15,5,26.9,6
Légère ou Moyenne,8000,Juillet,H1b,227.4,0,0,0,0,0,0,0,12.9,27,28.2,13.34,1.45,37,3,38.7,0.7
